employee_id,age,gender,department,job_level,years_experience,work_mode,weekly_work_hours,meetings_per_week,tasks_completed_per_week,collaboration_score,training_hours_per_year,salary_usd,last_promotion_months_ago,manager_rating,self_rating,sick_days_per_year,overtime_frequency,work_life_balance_score,stress_level,sleep_hours_avg,exercise_days_per_week,num_direct_reports,project_success_rate,remote_tools_proficiency,burnout_risk,productivity_score
EMP0158,58,Male,Operations,Senior,20,On-site,49,14,36,9.07,,78021,68,4.9,3.1,16,Always,3.64,5,7.5,4.0,0,0.62,6,1,100.0
EMP0159,38,Female,Operations,Mid,16,Remote,34,15,25,6.73,86.0,153915,41,2.2,1.9,1,Sometimes,2.73,3,5.1,3.0,3,0.84,7,1,100.0
EMP0160,23,Male,HR,Junior,18,Remote,46,12,24,7.58,56.0,152174,33,4.6,2.6,2,Rarely,3.38,2,6.0,0.0,4,0.84,1,0,100.0
EMP0161,23,Female,Marketing,Senior,14,Hybrid,49,11,12,9.26,90.0,121755,65,4.5,4.5,2,Sometimes,8.51,8,5.6,6.0,9,0.76,9,1,81.89
EMP0162,49,Non-binary,Engineering,Senior,8,Hybrid,50,4,13,9.21,85.0,178009,17,4.0,3.1,5,Never,6.75,10,7.3,1.0,3,0.57,6,0,75.41
EMP0163,44,Female,Data Science,Mid,9,Hybrid,30,18,29,7.65,26.0,101330,4,,2.3,9,Sometimes,4.65,9,5.4,3.0,7,0.96,4,1,100.0
EMP0164,58,Male,Finance,Senior,30,Remote,38,16,29,2.78,53.0,107322,19,1.5,1.8,23,Never,9.74,10,7.2,,1,0.73,10,1,84.44
EMP0165,53,Male,Engineering,Mid,22,Hybrid,37,10,37,8.59,3.0,137318,65,3.1,4.2,21,Often,5.18,9,6.2,1.0,8,0.87,9,1,100.0
EMP0166,54,Male,HR,Senior,29,Remote,45,11,6,2.83,87.0,80313,61,2.4,3.5,17,Rarely,9.73,5,6.1,5.0,1,0.53,1,0,40.85
EMP0167,22,Female,Finance,Junior,32,Hybrid,48,9,23,7.69,,62032,31,4.2,2.9,17,Never,2.77,9,7.6,0.0,1,0.61,2,1,99.73
EMP0168,40,Male,Data Science,Lead,8,Hybrid,56,22,24,7.17,47.0,96710,57,4.0,1.9,13,Sometimes,9.14,4,4.9,,1,0.92,3,1,100.0
EMP0169,23,Male,Data Science,Mid,0,Hybrid,41,14,33,7.83,82.0,130326,49,4.6,2.3,15,Sometimes,1.12,2,5.9,4.0,11,0.43,1,1,100.0
EMP0170,47,Male,Marketing,Mid,34,Remote,41,19,10,5.79,41.0,121157,37,1.1,4.8,6,Often,5.91,3,10.0,6.0,9,0.71,2,0,63.3
EMP0171,53,Female,Finance,Junior,10,Hybrid,54,6,21,6.75,2.0,63365,54,4.2,3.1,0,Always,4.81,1,8.7,0.0,7,0.69,2,0,100.0
EMP0172,27,Female,Marketing,Junior,33,Remote,47,7,29,9.58,90.0,48189,27,4.8,2.6,16,Always,5.73,5,4.3,5.0,2,0.85,7,1,100.0
EMP0173,53,Male,Engineering,Mid,15,Remote,55,18,8,1.91,2.0,42248,21,4.2,3.1,22,Sometimes,5.98,1,5.9,5.0,9,0.57,10,0,61.08
EMP0174,25,Male,Operations,Mid,8,On-site,47,12,34,3.78,27.0,39369,42,1.5,4.1,24,Always,4.5,1,6.6,6.0,10,0.53,6,0,100.0
EMP0175,32,Female,Operations,Lead,31,On-site,35,21,24,6.5,62.0,174122,35,1.3,2.4,4,Rarely,9.98,7,4.8,3.0,9,0.96,9,0,92.8
EMP0176,38,Female,Operations,Junior,14,Remote,34,17,7,9.68,80.0,63605,51,,1.7,26,Always,9.79,2,8.9,4.0,7,0.74,5,0,67.85
EMP0177,59,Female,Finance,Mid,11,On-site,32,10,27,1.86,30.0,84616,35,3.5,3.3,0,Rarely,9.66,8,6.5,5.0,6,0.46,9,0,75.61
EMP0178,45,Male,Operations,Mid,32,On-site,50,3,22,1.2,9.0,138719,27,3.5,3.7,20,Sometimes,9.81,6,6.3,2.0,9,0.52,10,0,66.17
EMP0179,26,Female,Engineering,Junior,13,On-site,54,6,30,1.5,48.0,68055,57,4.9,3.9,26,Sometimes,8.14,4,7.0,0.0,3,1.0,9,0,100.0
EMP0180,55,Female,Marketing,Junior,7,Remote,59,2,12,1.47,85.0,151680,35,2.6,4.5,16,Sometimes,9.9,9,6.9,2.0,6,0.52,2,1,31.83
EMP0181,27,Female,Finance,Mid,7,On-site,51,5,21,9.17,93.0,42450,69,2.3,2.5,9,Often,9.03,10,5.5,3.0,10,0.77,9,1,94.67
EMP0182,43,Female,Marketing,Mid,26,Remote,54,5,35,7.49,20.0,168997,8,3.5,1.3,11,Always,4.74,8,8.1,0.0,7,0.65,3,1,100.0
EMP0183,32,Male,Finance,Mid,11,Remote,40,23,37,7.09,99.0,85272,20,4.3,4.8,24,Never,8.06,10,6.7,3.0,5,0.93,3,0,100.0
EMP0184,37,Male,Marketing,Mid,0,Remote,35,4,31,5.7,52.0,40310,63,4.7,2.7,19,Never,9.21,3,8.1,4.0,5,0.85,9,0,100.0
EMP0185,54,Female,Data Science,Senior,10,Hybrid,51,10,8,8.04,86.0,66817,60,4.2,3.5,24,Sometimes,7.41,3,5.8,4.0,2,0.76,7,0,74.5
EMP0186,30,Female,Marketing,Junior,30,Remote,48,23,26,2.4,75.0,117641,39,2.7,3.7,1,Always,4.81,4,4.3,2.0,4,0.41,8,0,85.66
EMP0187,27,Female,Operations,Mid,16,Remote,45,24,30,4.53,88.0,50457,55,3.5,3.2,22,Rarely,1.59,9,8.2,2.0,9,0.93,7,1,100.0
EMP0188,37,Female,Data Science,Manager,32,Remote,48,13,36,5.41,53.0,77311,3,4.4,1.8,15,Never,8.29,9,7.4,4.0,1,0.67,9,0,100.0
EMP0189,50,Female,Marketing,Mid,31,On-site,47,11,28,1.99,56.0,170052,30,,4.0,14,Sometimes,9.57,5,7.9,1.0,11,0.96,8,0,100.0
EMP0190,24,Female,Finance,Senior,28,On-site,55,3,39,4.78,19.0,158573,26,1.9,4.2,27,Never,4.26,9,8.0,4.0,4,0.7,4,1,100.0
EMP0191,41,Male,Finance,Mid,20,Remote,55,12,36,3.85,48.0,132427,57,1.7,3.2,12,Never,2.37,6,6.5,6.0,4,0.82,2,0,100.0
EMP0192,57,Female,Finance,Senior,20,On-site,49,11,11,1.32,6.0,71181,24,1.0,3.0,17,Never,3.94,8,6.1,0.0,6,0.44,5,1,26.46
EMP0193,40,Male,HR,Senior,22,On-site,51,23,37,2.23,28.0,167019,68,3.9,1.5,27,Sometimes,6.24,8,6.4,,3,0.85,2,1,100.0
EMP0194,47,Male,Engineering,Mid,5,On-site,49,7,35,7.88,47.0,166094,69,1.4,1.3,19,Sometimes,3.85,10,7.2,3.0,10,0.6,4,1,100.0
EMP0195,24,Non-binary,Finance,Manager,21,Remote,41,19,16,1.16,92.0,36128,4,2.0,2.4,21,Often,6.5,7,6.8,4.0,5,0.61,2,0,48.67
EMP0196,40,Male,Data Science,Junior,7,Hybrid,51,3,15,9.41,12.0,114522,7,2.2,2.2,13,Often,9.7,4,4.3,4.0,8,0.47,5,1,75.4
EMP0197,41,Male,Finance,Junior,34,On-site,33,3,28,1.78,2.0,83929,8,3.2,4.8,17,Often,7.04,4,6.4,5.0,3,0.49,6,0,89.96
EMP0198,53,Male,HR,Senior,10,Hybrid,53,11,12,8.19,1.0,116696,14,2.6,4.1,1,Never,4.26,6,8.2,3.0,10,0.51,1,0,61.77
EMP0199,28,Female,Operations,Lead,23,Remote,35,17,36,9.09,15.0,150245,6,3.7,3.6,1,Always,9.42,9,6.5,5.0,5,0.6,8,1,100.0
EMP0200,54,Male,Data Science,Junior,20,Hybrid,47,13,26,9.47,93.0,44808,71,1.2,3.1,2,Sometimes,6.09,7,9.2,3.0,11,0.94,2,0,100.0
EMP0201,39,Male,HR,Mid,1,Hybrid,38,2,38,8.81,5.0,130148,14,1.5,1.7,4,Often,2.16,5,5.3,6.0,8,0.62,5,1,100.0
EMP0202,22,Male,Operations,Junior,18,Hybrid,49,22,23,3.59,44.0,56725,36,3.0,4.9,24,Always,5.49,5,6.9,0.0,9,0.83,8,0,90.41
EMP0203,32,Male,Data Science,Mid,27,Remote,44,9,24,4.0,70.0,107534,38,2.3,2.5,15,Often,6.88,8,5.3,3.0,11,0.45,5,1,78.86
EMP0204,49,Male,Marketing,Senior,16,Remote,32,17,18,4.84,4.0,74950,5,2.2,1.4,21,Often,8.54,6,5.5,2.0,0,0.75,3,1,73.92
EMP0205,46,Male,Engineering,Mid,5,On-site,48,19,37,2.25,55.0,118576,56,1.3,3.0,14,Always,9.43,1,5.5,4.0,7,0.69,6,1,100.0
EMP0206,44,Female,Engineering,Mid,18,On-site,40,14,14,1.2,70.0,55557,18,4.6,4.5,11,Often,3.86,1,,3.0,0,0.99,1,0,78.18
EMP0207,52,Male,HR,Mid,27,Remote,52,16,20,8.82,97.0,56825,62,3.8,4.5,29,Never,2.4,9,6.2,0.0,3,0.91,1,1,100.0
EMP0208,51,Male,Operations,Junior,1,On-site,45,22,8,5.99,,43998,30,1.5,1.0,8,Never,1.66,8,5.7,3.0,2,0.67,8,1,39.56
EMP0209,56,Male,Engineering,Mid,3,Remote,48,13,31,6.48,48.0,71080,9,1.3,4.5,25,Never,7.65,6,6.5,4.0,3,0.87,7,0,100.0
EMP0210,28,Male,Operations,Senior,21,Hybrid,37,9,32,9.34,,177239,66,4.9,2.1,13,Rarely,8.16,1,6.2,1.0,6,0.52,10,0,100.0
EMP0211,37,Female,Operations,Manager,25,On-site,40,11,20,6.99,29.0,77407,61,3.7,1.2,28,Often,4.68,2,7.5,3.0,8,0.74,10,0,92.53
EMP0212,47,Female,HR,Lead,12,On-site,41,15,37,7.22,24.0,155283,2,2.7,4.4,20,Rarely,4.56,10,4.1,2.0,8,0.44,3,1,100.0
EMP0213,23,Male,HR,Junior,31,On-site,51,6,23,8.08,84.0,48338,17,3.8,4.5,15,Sometimes,9.59,3,5.4,,9,0.61,8,0,100.0
EMP0214,22,Male,HR,Lead,16,Remote,58,19,25,2.05,59.0,111289,24,4.0,3.4,10,Always,9.25,10,7.5,0.0,0,0.54,8,1,84.03
EMP0215,33,Male,Engineering,Senior,18,On-site,38,20,26,4.24,58.0,166029,19,4.1,3.3,5,Sometimes,3.1,3,5.9,6.0,9,0.83,1,0,100.0
EMP0216,26,Female,HR,Senior,34,Remote,53,16,13,9.71,84.0,144367,57,,4.3,9,Rarely,8.03,2,5.6,6.0,0,0.69,10,0,88.32
EMP0217,58,Female,Engineering,Mid,27,Hybrid,30,7,13,9.31,27.0,100898,49,2.7,4.1,27,Never,6.6,2,5.5,4.0,8,0.85,7,0,81.17
EMP0218,53,Female,HR,Mid,0,Hybrid,35,12,13,8.96,57.0,169526,9,1.0,4.6,7,Often,2.39,6,7.4,,3,0.71,2,1,67.02
EMP0219,30,Male,Finance,Mid,17,Hybrid,37,22,31,5.07,19.0,152486,20,4.7,3.2,15,Often,4.21,7,7.3,1.0,11,0.45,2,0,100.0
EMP0220,56,Female,Operations,Junior,32,Remote,34,12,21,8.71,33.0,121540,28,3.4,4.9,2,Never,2.6,4,7.6,0.0,2,0.84,2,0,96.29
EMP0221,40,Male,HR,Junior,11,On-site,32,21,12,1.44,4.0,171421,9,1.8,5.0,1,Often,3.66,1,5.1,1.0,8,0.9,5,1,58.23
EMP0222,37,Male,Data Science,Junior,7,Remote,48,21,20,2.34,81.0,160416,12,4.7,1.5,15,Always,6.54,6,5.0,,4,0.94,7,0,87.14
EMP0223,24,Male,Operations,Mid,23,Remote,43,22,22,4.73,59.0,74963,46,4.7,4.4,18,Always,4.38,7,7.9,1.0,11,0.74,4,0,95.6
EMP0224,41,Male,Operations,Senior,15,Hybrid,48,19,37,5.35,42.0,173822,22,,3.0,29,Always,4.55,4,6.7,2.0,5,0.85,4,0,100.0
EMP0225,45,Female,HR,Mid,3,Hybrid,50,19,5,3.37,56.0,129929,49,4.5,2.6,8,Sometimes,5.86,6,5.8,6.0,0,0.85,9,0,49.52
EMP0226,54,Female,Marketing,Junior,26,On-site,47,11,16,4.21,56.0,109935,3,5.0,3.5,15,Never,1.79,9,6.3,3.0,0,0.49,10,1,69.32
EMP0227,45,Male,HR,Manager,8,Remote,50,3,10,2.46,74.0,48686,66,2.0,1.2,21,Always,7.65,4,5.0,2.0,6,0.5,9,1,38.93
EMP0228,32,Female,Operations,Manager,15,Remote,44,10,9,5.4,53.0,98528,52,4.4,3.0,25,Rarely,4.62,10,5.9,2.0,9,0.44,7,1,47.88
EMP0229,29,Non-binary,Data Science,Senior,11,On-site,35,15,20,8.14,80.0,134811,1,4.3,4.5,27,Always,5.32,4,6.7,5.0,7,0.59,10,0,100.0
EMP0230,57,Female,Operations,Manager,30,Hybrid,53,20,22,6.95,44.0,57787,67,1.9,1.9,3,Sometimes,9.77,10,6.9,2.0,10,0.68,4,1,82.54
EMP0231,59,Female,Data Science,Mid,23,Remote,40,11,22,1.97,85.0,150613,64,1.4,2.7,9,Rarely,4.1,5,6.4,0.0,7,1.0,8,0,78.92
EMP0232,41,Female,Engineering,Manager,13,Hybrid,37,24,5,5.39,36.0,139887,56,4.9,4.8,18,Never,6.83,3,6.3,3.0,6,0.66,10,0,61.43
EMP0233,56,Non-binary,Finance,Junior,24,Hybrid,43,5,23,7.28,83.0,96086,69,2.2,2.7,12,Never,4.53,10,,3.0,10,0.84,3,1,100.0
EMP0234,46,Female,Operations,Mid,33,Hybrid,37,7,12,5.77,47.0,137231,6,4.5,2.4,17,Always,9.05,2,6.4,6.0,8,0.82,3,0,77.5
EMP0235,56,Male,HR,Junior,2,Hybrid,41,15,7,4.53,53.0,98308,18,1.0,2.8,14,Rarely,8.62,9,6.0,0.0,0,0.52,7,0,33.22
EMP0236,46,Male,Engineering,Junior,23,On-site,47,5,29,6.6,47.0,50797,43,1.1,3.1,29,Rarely,3.17,1,5.6,2.0,1,0.44,9,1,99.54
EMP0237,50,Female,Finance,Junior,8,On-site,47,16,9,9.72,5.0,40302,62,2.9,3.5,3,Always,7.23,5,4.4,2.0,2,0.73,4,1,81.08
EMP0238,39,Male,HR,Senior,25,Hybrid,37,17,23,1.85,,73059,64,2.0,4.2,8,Always,1.59,5,7.3,1.0,11,0.82,4,1,77.25
EMP0239,39,Female,Marketing,Senior,19,Remote,41,8,22,4.51,62.0,166980,38,3.8,2.8,3,Often,9.67,8,8.3,6.0,4,1.0,1,1,82.69
EMP0240,23,Male,HR,Senior,9,On-site,53,18,35,4.66,77.0,178949,25,3.3,4.3,28,Often,4.14,6,5.5,6.0,3,0.62,1,1,100.0
EMP0241,56,Male,Data Science,Junior,18,Hybrid,48,20,37,6.19,47.0,49239,43,1.3,3.1,15,Always,8.49,6,5.0,1.0,3,0.94,3,1,100.0
EMP0242,37,Male,Data Science,Lead,2,Hybrid,61,20,22,2.37,22.0,62313,11,1.7,2.4,27,Sometimes,3.87,6,5.8,5.0,7,0.63,7,1,78.99
EMP0243,57,Male,Marketing,Senior,23,Remote,54,18,20,2.59,83.0,77103,21,2.6,3.6,20,Often,6.69,4,6.8,4.0,7,0.81,9,0,81.32
EMP0244,54,Female,Engineering,Mid,4,On-site,54,7,20,3.57,12.0,123771,13,1.7,3.9,14,Always,9.85,1,5.9,1.0,10,0.76,4,1,76.07
EMP0245,25,Female,Finance,Senior,2,Hybrid,33,12,11,9.6,46.0,161228,29,4.2,3.2,23,Rarely,8.89,3,5.9,3.0,6,0.43,2,0,80.55
EMP0246,54,Female,HR,Mid,26,Remote,51,17,18,7.61,43.0,126665,43,2.7,1.2,1,Often,2.44,10,6.4,0.0,0,0.45,6,1,70.96
EMP0247,35,Female,Data Science,Mid,15,Hybrid,44,9,29,6.96,31.0,45534,37,1.4,1.7,27,Sometimes,5.93,6,6.6,2.0,9,0.41,6,0,100.0
EMP0248,42,Male,Engineering,Lead,14,On-site,40,12,36,8.35,25.0,78060,58,2.9,2.1,26,Never,4.14,5,6.9,4.0,3,0.62,9,0,100.0
EMP0249,41,Female,Marketing,Mid,34,Remote,46,8,26,2.15,52.0,52189,41,1.4,2.1,13,Rarely,4.91,10,6.1,1.0,0,0.85,4,0,72.34
EMP0250,29,Female,Operations,Mid,11,On-site,52,23,20,8.73,13.0,163431,51,1.5,3.7,2,Sometimes,4.02,1,,6.0,10,0.5,8,0,92.28
EMP0251,28,Female,Data Science,Lead,25,Hybrid,49,20,33,6.35,51.0,121067,62,2.0,1.1,21,Sometimes,4.02,5,4.2,4.0,4,0.76,3,1,100.0
EMP0252,24,Male,Marketing,Senior,33,Hybrid,37,11,20,4.02,35.0,45967,60,4.4,4.0,27,Sometimes,5.88,2,7.6,0.0,2,0.57,2,0,84.83
EMP0253,38,Female,HR,Junior,22,Remote,50,10,16,8.34,7.0,100563,33,4.7,2.1,22,Rarely,2.73,1,6.8,0.0,2,0.88,9,0,96.32
EMP0254,54,Female,Finance,Junior,30,Remote,39,5,21,8.22,39.0,43660,38,4.3,2.2,3,Sometimes,5.84,4,8.3,6.0,3,0.88,6,0,100.0
EMP0255,33,Non-binary,Data Science,Junior,19,On-site,46,24,31,8.61,85.0,153671,40,2.3,3.1,29,Never,3.51,6,7.1,4.0,1,0.87,8,0,100.0
EMP0256,43,Female,Data Science,Senior,11,Remote,42,16,29,2.04,21.0,164909,36,2.1,1.9,0,Often,3.6,7,6.4,4.0,6,0.71,10,1,93.48
EMP0257,43,Male,HR,Mid,22,On-site,43,14,17,9.72,15.0,175688,64,3.2,4.5,22,Rarely,7.65,9,4.7,5.0,11,0.57,9,1,86.87
EMP0258,51,Female,Operations,Junior,3,Remote,51,3,12,9.64,90.0,110976,31,3.9,1.3,27,Sometimes,1.27,5,4.5,4.0,3,0.89,1,1,87.23
EMP0259,59,Female,Engineering,Manager,22,Remote,36,3,9,4.22,59.0,48107,7,5.0,2.8,8,Always,4.43,8,7.8,2.0,4,0.51,1,1,52.51
EMP0260,59,Male,Finance,Mid,0,Remote,60,17,16,1.59,59.0,129182,17,1.5,4.4,16,Often,4.67,8,7.2,3.0,11,0.57,5,1,45.05
EMP0261,29,Female,Data Science,Junior,24,Hybrid,30,10,7,2.5,9.0,126787,44,1.2,3.5,13,Rarely,5.37,9,8.3,1.0,1,0.51,9,0,36.82
EMP0262,48,Female,Finance,Mid,1,On-site,40,14,39,9.94,24.0,50954,32,3.8,2.2,16,Always,7.02,3,7.6,6.0,5,0.8,7,0,100.0
EMP0263,48,Male,Data Science,Senior,29,Remote,47,4,37,6.07,30.0,51943,4,4.3,2.7,0,Always,4.33,3,6.1,1.0,8,0.81,7,0,100.0
EMP0264,55,Male,Finance,Junior,2,Remote,49,10,26,4.21,20.0,75725,35,4.4,3.8,9,Sometimes,2.92,9,4.0,1.0,7,0.79,2,1,88.57
EMP0265,42,Male,Marketing,Mid,20,Remote,44,14,13,3.59,90.0,80434,22,3.7,4.9,22,Rarely,8.96,7,7.2,4.0,7,0.65,3,0,53.46
EMP0266,51,Male,Data Science,Lead,24,Hybrid,44,22,22,3.31,80.0,120751,39,4.8,4.6,15,Sometimes,9.83,4,5.3,6.0,1,0.46,4,0,89.08
EMP0267,54,Male,Finance,Mid,19,Hybrid,48,23,33,6.98,32.0,45110,4,3.0,2.4,26,Never,1.18,1,6.3,4.0,3,0.95,2,0,100.0
EMP0268,49,Female,Engineering,Mid,21,On-site,43,3,31,4.77,30.0,51462,33,4.7,5.0,24,Always,5.92,7,,5.0,7,0.7,10,0,100.0
EMP0269,54,Male,Marketing,Mid,20,Hybrid,56,9,21,9.69,89.0,114232,23,4.9,1.0,18,Never,4.08,10,5.7,4.0,10,0.64,9,1,94.98
EMP0270,26,Male,Marketing,Junior,32,Hybrid,51,10,38,7.15,20.0,101567,16,4.4,1.1,23,Sometimes,3.49,6,5.5,5.0,0,0.75,5,1,100.0
EMP0271,40,Female,Engineering,Junior,14,Remote,51,17,7,8.13,35.0,162425,70,2.2,4.3,24,Often,4.02,3,6.1,5.0,7,0.52,7,1,53.27
EMP0272,25,Female,Finance,Mid,14,On-site,37,3,9,3.63,64.0,91063,21,1.8,1.8,2,Always,6.75,5,4.0,2.0,2,0.48,9,1,49.7
EMP0273,56,Male,HR,Junior,24,Remote,44,7,18,1.71,3.0,148394,14,3.2,1.2,27,Often,2.72,3,5.3,2.0,7,0.64,5,1,69.37
EMP0274,38,Male,Engineering,Junior,20,Remote,42,23,7,5.39,67.0,90240,14,2.8,1.9,11,Rarely,9.22,8,5.2,2.0,5,0.54,6,1,44.4
EMP0275,49,Male,Finance,Lead,23,Hybrid,36,9,27,3.83,89.0,116352,24,4.5,2.7,2,Always,5.2,5,6.2,2.0,6,0.55,4,0,100.0
EMP0276,51,Female,Engineering,Manager,4,Hybrid,47,6,34,2.82,3.0,115989,52,1.4,3.9,14,Never,3.93,10,5.4,0.0,1,0.94,8,1,100.0
EMP0277,50,Male,Engineering,Senior,5,Hybrid,40,10,27,9.57,8.0,57222,20,2.0,3.5,16,Often,7.89,10,5.9,,0,0.72,1,1,100.0
EMP0278,27,Female,Data Science,Lead,22,Hybrid,50,2,31,5.0,29.0,114794,65,4.0,2.0,17,Rarely,1.15,6,6.0,2.0,5,0.69,1,0,100.0
EMP0279,56,Non-binary,Finance,Junior,3,On-site,36,10,14,2.57,44.0,98924,31,1.4,3.0,6,Always,4.89,2,9.1,2.0,11,0.81,5,0,64.73
EMP0280,58,Male,HR,Manager,26,Remote,58,11,29,2.79,3.0,134854,20,2.3,4.7,18,Rarely,4.2,8,7.4,5.0,2,0.97,10,1,98.57
EMP0281,45,Female,Data Science,Junior,17,On-site,37,24,17,3.53,68.0,113513,67,2.5,4.3,6,Never,4.04,9,6.4,1.0,3,0.47,9,0,55.2
EMP0282,50,Non-binary,Engineering,Manager,20,Hybrid,46,5,20,9.99,22.0,89649,43,3.5,2.3,4,Always,4.03,3,7.0,6.0,8,0.9,2,0,93.17
EMP0283,52,Male,Operations,Manager,27,Hybrid,51,4,38,3.41,15.0,137986,65,1.6,4.9,25,Rarely,1.28,6,7.6,1.0,2,0.75,3,1,100.0
EMP0284,56,Female,Engineering,Senior,34,Hybrid,40,11,26,3.96,21.0,118749,13,4.4,3.8,7,Sometimes,2.37,6,6.8,1.0,1,0.49,8,0,88.48
EMP0285,54,Female,Engineering,Manager,21,Remote,51,16,21,6.93,71.0,176295,14,2.8,1.2,20,Always,2.28,2,5.3,3.0,1,0.58,5,1,88.47
EMP0286,42,Female,Finance,Senior,22,On-site,35,12,27,3.65,47.0,74369,19,4.7,1.1,15,Always,9.9,10,6.3,0.0,1,0.69,3,1,89.44
EMP0287,53,Female,Finance,Mid,2,Hybrid,56,15,13,2.94,61.0,121379,33,2.9,1.7,15,Always,1.2,8,5.3,5.0,5,0.81,6,1,62.92
EMP0288,44,Female,Data Science,Mid,9,Remote,45,7,6,2.43,96.0,104392,35,2.1,3.9,18,Always,2.5,5,6.1,,1,0.55,6,1,39.95
EMP0289,54,Female,HR,Senior,24,Hybrid,40,13,36,3.81,59.0,47661,8,1.6,1.7,24,Sometimes,9.77,8,6.3,5.0,10,0.72,5,1,100.0
EMP0290,24,Female,Data Science,Junior,7,On-site,42,14,26,1.95,79.0,106718,70,1.0,3.0,14,Never,6.65,8,7.8,2.0,6,0.81,5,1,77.38
EMP0291,39,Female,Marketing,Senior,10,Hybrid,51,18,17,1.17,4.0,42970,29,3.1,1.4,6,Sometimes,5.06,3,,1.0,6,0.67,6,0,63.98
EMP0292,46,Female,Engineering,Manager,4,On-site,40,17,12,8.24,,82922,62,1.4,4.7,4,Sometimes,1.71,5,5.5,5.0,6,0.92,2,1,63.75
EMP0293,52,Female,Operations,Junior,28,Remote,39,4,5,2.24,6.0,65755,34,2.6,2.4,22,Rarely,7.03,7,5.6,0.0,1,0.92,6,0,42.09
EMP0294,24,Male,Engineering,Senior,4,Remote,43,3,21,7.98,50.0,155926,12,3.4,4.6,10,Often,2.24,5,5.8,2.0,6,0.68,2,1,100.0
EMP0295,45,Male,Engineering,Lead,8,Remote,35,12,16,8.18,64.0,54416,45,2.1,4.8,9,Often,7.04,6,6.1,3.0,9,0.98,3,0,86.0
EMP0296,53,Male,Data Science,Manager,1,Hybrid,59,10,8,5.84,8.0,48672,55,1.7,1.0,24,Rarely,9.81,2,6.9,4.0,7,0.45,2,1,44.78
EMP0297,43,Male,Operations,Manager,0,Remote,40,4,17,3.79,,163145,8,4.1,2.9,20,Sometimes,5.79,8,5.6,2.0,7,0.4,1,1,64.58
EMP0298,44,Male,Operations,Mid,29,Remote,51,19,35,2.31,44.0,109095,35,4.8,1.1,22,Rarely,2.93,5,6.6,6.0,1,0.63,1,0,100.0
EMP0299,23,Female,Operations,Manager,10,On-site,46,21,11,7.63,46.0,35064,2,1.4,4.6,26,Always,6.63,6,6.7,4.0,4,0.76,9,0,53.36
EMP0300,48,Male,Data Science,Senior,27,On-site,37,16,27,6.41,66.0,103835,18,1.6,3.1,8,Rarely,5.62,1,7.2,5.0,5,0.78,4,0,100.0
EMP0301,23,Female,Engineering,Junior,11,Hybrid,44,15,28,6.9,23.0,171711,27,4.8,1.3,0,Rarely,5.8,10,6.2,2.0,8,0.69,5,0,100.0
EMP0302,47,Male,Data Science,Mid,25,Remote,51,3,9,1.08,91.0,177127,22,1.2,1.4,19,Always,5.3,2,7.5,3.0,5,0.47,10,0,33.04
EMP0303,38,Female,Finance,Senior,12,Remote,43,18,9,9.35,9.0,122594,6,4.9,2.5,0,Often,7.06,4,6.9,5.0,9,0.5,7,0,65.29
EMP0304,54,Non-binary,Finance,Junior,7,Remote,54,23,21,1.6,72.0,151916,13,1.0,4.8,7,Always,6.15,9,6.9,,5,0.91,2,1,64.98
EMP0305,30,Male,Data Science,Senior,27,Hybrid,53,9,34,4.3,76.0,155308,45,4.5,3.8,2,Never,9.88,6,5.8,,9,0.92,10,0,100.0
EMP0306,50,Female,Operations,Senior,29,On-site,52,11,13,4.62,47.0,117516,14,,4.5,1,Rarely,8.43,8,6.8,4.0,9,0.8,9,0,67.26
EMP0307,47,Male,Engineering,Junior,8,Hybrid,41,19,10,1.01,34.0,99666,66,4.8,2.5,29,Rarely,3.38,2,6.9,0.0,5,0.8,4,0,55.49
EMP0308,56,Female,Data Science,Senior,30,Remote,36,20,29,5.47,53.0,153294,14,2.3,1.2,3,Often,7.53,10,5.8,6.0,8,0.76,10,1,92.88
EMP0309,46,Male,Data Science,Senior,20,Hybrid,40,9,23,7.78,86.0,45866,50,3.6,4.9,26,Sometimes,2.93,5,7.9,4.0,9,0.52,10,0,98.54
EMP0310,45,Female,Data Science,Mid,33,Remote,46,9,20,8.41,80.0,38889,7,1.3,1.1,18,Always,8.04,1,9.6,5.0,6,0.66,1,0,81.75
EMP0311,34,Male,Marketing,Junior,30,Remote,49,4,25,8.91,70.0,153194,68,2.0,4.8,10,Sometimes,2.33,4,5.7,1.0,0,0.82,8,1,100.0
EMP0312,28,Female,Finance,Junior,24,Hybrid,30,4,6,5.39,15.0,159714,61,4.1,2.5,4,Never,5.26,10,5.9,6.0,0,0.72,4,1,40.36
EMP0313,57,Female,Operations,Mid,11,Hybrid,44,13,14,6.68,52.0,66335,50,3.1,1.0,28,Always,8.12,1,6.0,,3,0.41,7,0,83.22
EMP0314,41,Male,HR,Manager,0,Remote,46,23,20,1.72,39.0,85547,62,4.7,3.8,23,Never,3.52,9,4.9,3.0,11,0.97,3,1,75.9
EMP0315,22,Male,Operations,Junior,21,Remote,42,18,19,5.39,99.0,133756,67,2.7,4.9,9,Never,8.53,2,5.4,6.0,1,0.91,9,0,82.54
EMP0316,29,Male,HR,Senior,0,On-site,55,5,17,2.39,19.0,45995,15,4.5,4.9,23,Never,6.8,7,7.5,2.0,2,0.56,5,0,71.29
